FagNivaa	Fagkategorikode	Fagomraadekode	Opplaeringsfagkode	Vurderingsfagkode	Fagkategorinavn	Fagomraadenavn	Opplaeringsfagnavn	Vurderingsfagnavn	2022-23.Alle eierformer.Alle trinn.Alle kjønn.Antall elever	2023-24.Alle eierformer.Alle trinn.Alle kjønn.Antall elever	2024-25.Alle eierformer.Alle trinn.Alle kjønn.Antall elever
4	FKAT700	FOMR802	FSP1X39	FSP6196	Språkfag	Fremmedspråk fellesfag	Nordsamisk fellesfag	Nordsamisk I+II	10	7	6
3	FKAT700	FOMR802	FSP1X45	FSP1X45	Språkfag	Fremmedspråk fellesfag	Polsk fellesfag	Alle vurderingsfag		1	
4	FKAT700	FOMR802	FSP1X45	FSP6329	Språkfag	Fremmedspråk fellesfag	Polsk fellesfag	Polsk I		1	
3	FKAT700	FOMR802	FSP1X48	FSP1X48	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Alle vurderingsfag	122	93	85
4	FKAT700	FOMR802	FSP1X48	FSP6208	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk I, 1. år	45	40	26
4	FKAT700	FOMR802	FSP1X48	FSP6209	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk I	54	34	34
4	FKAT700	FOMR802	FSP1X48	FSP6211	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk II, 1. år	5	4	11
4	FKAT700	FOMR802	FSP1X48	FSP6212	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk II	7	5	5
4	FKAT700	FOMR802	FSP1X48	FSP6214	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk I+II, 1. år	4	4	3
4	FKAT700	FOMR802	FSP1X48	FSP6215	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk I+II, 2. år	3	2	5
4	FKAT700	FOMR802	FSP1X48	FSP6216	Språkfag	Fremmedspråk fellesfag	Russisk fellesfag	Russisk I+II	4	4	1
3	FKAT700	FOMR802	FSP1X51	FSP1X51	Språkfag	Fremmedspråk fellesfag	Somali fellesfag	Alle vurderingsfag		1	
4	FKAT700	FOMR802	FSP1X51	FSP6339	Språkfag	Fremmedspråk fellesfag	Somali fellesfag	Somali I		1	
3	FKAT700	FOMR802	FSP1X52	FSP1X52	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Alle vurderingsfag	30240	30986	31517
4	FKAT700	FOMR802	FSP1X52	FSP5098	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk I+II	4		
4	FKAT700	FOMR802	FSP1X52	FSP6218	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk I, 1. år	2544	2524	2351
4	FKAT700	FOMR802	FSP1X52	FSP6219	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk I	2128	2270	2176
4	FKAT700	FOMR802	FSP1X52	FSP6221	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk II, 1. år	10800	11094	11423
4	FKAT700	FOMR802	FSP1X52	FSP6222	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk II	10062	10075	10288
4	FKAT700	FOMR802	FSP1X52	FSP6224	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk I+II, 1. år	2016	2138	2086
4	FKAT700	FOMR802	FSP1X52	FSP6225	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk I+II, 2. år	1415	1579	1729
4	FKAT700	FOMR802	FSP1X52	FSP6226	Språkfag	Fremmedspråk fellesfag	Spansk fellesfag	Spansk I+II	1339	1366	1501
3	FKAT700	FOMR802	FSP1X57	FSP1X57	Språkfag	Fremmedspråk fellesfag	Tegnspråk fellesfag	Alle vurderingsfag	278	317	340
4	FKAT700	FOMR802	FSP1X57	FSP6228	Språkfag	Fremmedspråk fellesfag	Tegnspråk fellesfag	Tegnspråk I, 1. år	77	102	82
4	FKAT700	FOMR802	FSP1X57	FSP6229	Språkfag	Fremmedspråk fellesfag	Tegnspråk fellesfag	Tegnspråk I	69	75	94
4	FKAT700	FOMR802	FSP1X57	FSP6234	Språkfag	Fremmedspråk fellesfag	Tegnspråk fellesfag	Tegnspråk I+II, 1. år	58	63	73
4	FKAT700	FOMR802	FSP1X57	FSP6235	Språkfag	Fremmedspråk fellesfag	Tegnspråk fellesfag	Tegnspråk I+II, 2. år	37	41	49
4	FKAT700	FOMR802	FSP1X57	FSP6236	Språkfag	Fremmedspråk fellesfag	Tegnspråk fellesfag	Tegnspråk I+II	37	36	42
3	FKAT700	FOMR802	FSP1X59	FSP1X59	Språkfag	Fremmedspråk fellesfag	Tigrinja fellesfag	Tigrinja fellesfag	3		
4	FKAT700	FOMR802	FSP1X59	FSP6502	Språkfag	Fremmedspråk fellesfag	Tigrinja fellesfag	Tigrinja II	3		
3	FKAT700	FOMR802	FSP1X62	FSP1X62	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Alle vurderingsfag	24861	24061	23410
4	FKAT700	FOMR802	FSP1X62	FSP5125	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk I+II	13	14	
4	FKAT700	FOMR802	FSP1X62	FSP6238	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk I, 1. år	2703	2786	2614
4	FKAT700	FOMR802	FSP1X62	FSP6239	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk I	2291	2467	2487
4	FKAT700	FOMR802	FSP1X62	FSP6241	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk II, 1. år	7324	6633	6369
4	FKAT700	FOMR802	FSP1X62	FSP6242	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk II	7401	6886	6214
4	FKAT700	FOMR802	FSP1X62	FSP6244	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk I+II, 1. år	2083	2148	2380
4	FKAT700	FOMR802	FSP1X62	FSP6245	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk I+II, 2. år	1644	1727	1805
4	FKAT700	FOMR802	FSP1X62	FSP6246	Språkfag	Fremmedspråk fellesfag	Tysk fellesfag	Tysk I+II	1440	1484	1628
3	FKAT700	FOMR802	FSP1X64	FSP1X64	Språkfag	Fremmedspråk fellesfag	Urdu fellesfag	Alle vurderingsfag			38
4	FKAT700	FOMR802	FSP1X64	FSP6368	Språkfag	Fremmedspråk fellesfag	Urdu fellesfag	Urdu I, 1. år			26
4	FKAT700	FOMR802	FSP1X64	FSP6374	Språkfag	Fremmedspråk fellesfag	Urdu fellesfag	Urdu I+II, 1. år			12
2	FKAT700	FOMR801		FOMR801	Språkfag	Fremmedspråk programfag	Alle opplæringsfag	Alle vurderingsfag	1660	1776	1559
3	FKAT700	FOMR801	PSP1X03	PSP1X03	Språkfag	Fremmedspråk programfag	Albansk programfag	Alle vurderingsfag		1	
4	FKAT700	FOMR801	PSP1X03	PSP5878	Språkfag	Fremmedspråk programfag	Albansk programfag	Albansk nivå III		1	
3	FKAT700	FOMR801	PSP1X06	PSP1X06	Språkfag	Fremmedspråk programfag	Arabisk programfag	Alle vurderingsfag	30	28	16
4	FKAT700	FOMR801	PSP1X06	PSP5856	Språkfag	Fremmedspråk programfag	Arabisk programfag	Arabisk nivå I	24	19	4
4	FKAT700	FOMR801	PSP1X06	PSP5858	Språkfag	Fremmedspråk programfag	Arabisk programfag	Arabisk nivå II	6	7	12
4	FKAT700	FOMR801	PSP1X06	PSP5860	Språkfag	Fremmedspråk programfag	Arabisk programfag	Arabisk nivå III		2	
3	FKAT700	FOMR801	PSP1X12	PSP1X12	Språkfag	Fremmedspråk programfag	Filipino programfag	Alle vurderingsfag		1	
4	FKAT700	FOMR801	PSP1X12	PSP5962	Språkfag	Fremmedspråk programfag	Filipino programfag	Filipino nivå III		1	
3	FKAT700	FOMR801	PSP1X15	PSP1X15	Språkfag	Fremmedspråk programfag	Fransk programfag	Alle vurderingsfag	285	317	286
4	FKAT700	FOMR801	PSP1X15	PSP5796	Språkfag	Fremmedspråk programfag	Fransk programfag	Fransk nivå I			1
4	FKAT700	FOMR801	PSP1X15	PSP5798	Språkfag	Fremmedspråk programfag	Fransk programfag	Fransk nivå II	18	1	7
4	FKAT700	FOMR801	PSP1X15	PSP5800	Språkfag	Fremmedspråk programfag	Fransk programfag	Fransk nivå III	267	316	279
3	FKAT700	FOMR801	PSP1X20	PSP1X20	Språkfag	Fremmedspråk programfag	Italiensk programfag	Alle vurderingsfag	66	89	66
4	FKAT700	FOMR801	PSP1X20	PSP5844	Språkfag	Fremmedspråk programfag	Italiensk programfag	Italiensk nivå I	37	51	17
4	FKAT700	FOMR801	PSP1X20	PSP5846	Språkfag	Fremmedspråk programfag	Italiensk programfag	Italiensk nivå II	18	30	26
4	FKAT700	FOMR801	PSP1X20	PSP5848	Språkfag	Fremmedspråk programfag	Italiensk programfag	Italiensk nivå III	11	8	23
3	FKAT700	FOMR801	PSP1X21	PSP1X21	Språkfag	Fremmedspråk programfag	Japansk programfag	Alle vurderingsfag	64	41	28
4	FKAT700	FOMR801	PSP1X21	PSP5179	Språkfag	Fremmedspråk programfag	Japansk programfag	Japansk nivå III	2		
4	FKAT700	FOMR801	PSP1X21	PSP5850	Språkfag	Fremmedspråk programfag	Japansk programfag	Japansk nivå I	38	27	13
4	FKAT700	FOMR801	PSP1X21	PSP5852	Språkfag	Fremmedspråk programfag	Japansk programfag	Japansk nivå II	24	14	15
3	FKAT700	FOMR801	PSP1X24	PSP1X24	Språkfag	Fremmedspråk programfag	Kinesisk programfag	Alle vurderingsfag	108	77	109
4	FKAT700	FOMR801	PSP1X24	PSP5862	Språkfag	Fremmedspråk programfag	Kinesisk programfag	Kinesisk nivå I	42	33	56
4	FKAT700	FOMR801	PSP1X24	PSP5864	Språkfag	Fremmedspråk programfag	Kinesisk programfag	Kinesisk nivå II	61	41	53
4	FKAT700	FOMR801	PSP1X24	PSP5866	Språkfag	Fremmedspråk programfag	Kinesisk programfag	Kinesisk nivå III	5	6	
3	FKAT700	FOMR801	PSP1X26	PSP1X26	Språkfag	Fremmedspråk programfag	Koreansk programfag	Alle vurderingsfag			10
4	FKAT700	FOMR801	PSP1X26	PSP5892	Språkfag	Fremmedspråk programfag	Koreansk programfag	Koreansk nivå I			10
3	FKAT700	FOMR801	PSP1X40	PSP1X40	Språkfag	Fremmedspråk programfag	Nordsamisk programfag	Alle vurderingsfag	2	3	
4	FKAT700	FOMR801	PSP1X40	PSP5810	Språkfag	Fremmedspråk programfag	Nordsamisk programfag	Nordsamisk nivå II	2	3	
3	FKAT700	FOMR801	PSP1X42	PSP1X42	Språkfag	Fremmedspråk programfag	Oromo programfag	Alle vurderingsfag		1	
4	FKAT700	FOMR801	PSP1X42	PSP5990	Språkfag	Fremmedspråk programfag	Oromo programfag	Oromo nivå II		1	
3	FKAT700	FOMR801	PSP1X44	PSP1X44	Språkfag	Fremmedspråk programfag	Pashto programfag	Alle vurderingsfag		3	
4	FKAT700	FOMR801	PSP1X44	PSP6002	Språkfag	Fremmedspråk programfag	Pashto programfag	Pashto nivå II		2	
4	FKAT700	FOMR801	PSP1X44	PSP6004	Språkfag	Fremmedspråk programfag	Pashto programfag	Pashto nivå III		1	
3	FKAT700	FOMR801	PSP1X46	PSP1X46	Språkfag	Fremmedspråk programfag	Polsk programfag	Alle vurderingsfag		1	1
4	FKAT700	FOMR801	PSP1X46	PSP5910	Språkfag	Fremmedspråk programfag	Polsk programfag	Polsk nivå I			1
4	FKAT700	FOMR801	PSP1X46	PSP5912	Språkfag	Fremmedspråk programfag	Polsk programfag	Polsk nivå II			1
4	FKAT700	FOMR801	PSP1X46	PSP5914	Språkfag	Fremmedspråk programfag	Polsk programfag	Polsk nivå III		1	
3	FKAT700	FOMR801	PSP1X49	PSP1X49	Språkfag	Fremmedspråk programfag	Russisk programfag	Alle vurderingsfag	18	24	30
4	FKAT700	FOMR801	PSP1X49	PSP5820	Språkfag	Fremmedspråk programfag	Russisk programfag	Russisk, nivå I	10	15	15
4	FKAT700	FOMR801	PSP1X49	PSP5822	Språkfag	Fremmedspråk programfag	Russisk programfag	Russisk nivå II	8	8	15
4	FKAT700	FOMR801	PSP1X49	PSP5824	Språkfag	Fremmedspråk programfag	Russisk programfag	Russisk nivå III		1	
3	FKAT700	FOMR801	PSP1X50	PSP1X50	Språkfag	Fremmedspråk programfag	Serbisk programfag	Alle vurderingsfag		1	
4	FKAT700	FOMR801	PSP1X50	PSP6048	Språkfag	Fremmedspråk programfag	Serbisk programfag	Serbisk nivå III		1	
3	FKAT700	FOMR801	PSP1X52	PSP1X52	Språkfag	Fremmedspråk programfag	Somali programfag	Alle vurderingsfag		9	
4	FKAT700	FOMR801	PSP1X52	PSP5918	Språkfag	Fremmedspråk programfag	Somali programfag	Somali nivå II		7	
4	FKAT700	FOMR801	PSP1X52	PSP5920	Språkfag	Fremmedspråk programfag	Somali programfag	Somali nivå III		2	
3	FKAT700	FOMR801	PSP1X53	PSP1X53	Språkfag	Fremmedspråk programfag	Spansk programfag	Alle vurderingsfag	738	804	703
4	FKAT700	FOMR801	PSP1X53	PSP5053	Språkfag	Fremmedspråk programfag	Spansk programfag	Spansk nivå III	26	1	
4	FKAT700	FOMR801	PSP1X53	PSP5054	Språkfag	Fremmedspråk programfag	Spansk programfag	Spansk nivå III, muntlig	45		
4	FKAT700	FOMR801	PSP1X53	PSP5826	Språkfag	Fremmedspråk programfag	Spansk programfag	Spansk, nivå I	12	8	10
4	FKAT700	FOMR801	PSP1X53	PSP5828	Språkfag	Fremmedspråk programfag	Spansk programfag	Spansk nivå II	11	23	18
4	FKAT700	FOMR801	PSP1X53	PSP5830	Språkfag	Fremmedspråk programfag	Spansk programfag	Spansk nivå III	689	773	675
3	FKAT700	FOMR801	PSP1X59	PSP1X59	Språkfag	Fremmedspråk programfag	Tegnspråk programfag	Alle vurderingsfag	56	85	81
4	FKAT700	FOMR801	PSP1X59	PSP5832	Språkfag	Fremmedspråk programfag	Tegnspråk programfag	Tegnspråk, nivå I	38	70	67
4	FKAT700	FOMR801	PSP1X59	PSP5834	Språkfag	Fremmedspråk programfag	Tegnspråk programfag	Tegnspråk nivå II	18	15	14
3	FKAT700	FOMR801	PSP1X63	PSP1X63	Språkfag	Fremmedspråk programfag	Tyrkisk programfag	Alle vurderingsfag		5	
4	FKAT700	FOMR801	PSP1X63	PSP5930	Språkfag	Fremmedspråk programfag	Tyrkisk programfag	Tyrkisk nivå II		4	
4	FKAT700	FOMR801	PSP1X63	PSP5932	Språkfag	Fremmedspråk programfag	Tyrkisk programfag	Tyrkisk nivå III		1	
3	FKAT700	FOMR801	PSP1X64	PSP1X64	Språkfag	Fremmedspråk programfag	Tysk programfag	Alle vurderingsfag	305	300	246
4	FKAT700	FOMR801	PSP1X64	PSP5071	Språkfag	Fremmedspråk programfag	Tysk programfag	Tysk nivå III	11		
4	FKAT700	FOMR801	PSP1X64	PSP5072	Språkfag	Fremmedspråk programfag	Tysk programfag	Tysk nivå III, muntlig	13		
4	FKAT700	FOMR801	PSP1X64	PSP5838	Språkfag	Fremmedspråk programfag	Tysk programfag	Tysk, nivå I	23	5	2
4	FKAT700	FOMR801	PSP1X64	PSP5840	Språkfag	Fremmedspråk programfag	Tysk programfag	Tysk nivå II	17	27	20
4	FKAT700	FOMR801	PSP1X64	PSP5842	Språkfag	Fremmedspråk programfag	Tysk programfag	Tysk nivå III	254	269	224
3	FKAT700	FOMR801	PSP1X66	PSP1X66	Språkfag	Fremmedspråk programfag	Urdu programfag	Alle vurderingsfag		1	
4	FKAT700	FOMR801	PSP1X66	PSP5938	Språkfag	Fremmedspråk programfag	Urdu programfag	Urdu nivå III		1	
2	FKAT700	FOMR705		FOMR705	Språkfag	Kommunikasjon og kultur	Alle opplæringsfag	Alle vurderingsfag	1130	1081	1062
3	FKAT700	FOMR705	KKM1Z04	KKM1Z04	Språkfag	Kommunikasjon og kultur	Kommunikasjon og kultur 1	Alle vurderingsfag	819	749	755
4	FKAT700	FOMR705	KKM1Z04	SPR3033	Språkfag	Kommunikasjon og kultur	Kommunikasjon og kultur 1	Kommunikasjon og kultur 1	819	749	755
3	FKAT700	FOMR705	KKM1Z05	KKM1Z05	Språkfag	Kommunikasjon og kultur	Kommunikasjon og kultur 2	Alle vurderingsfag	61	47	52
4	FKAT700	FOMR705	KKM1Z05	SPR3034	Språkfag	Kommunikasjon og kultur	Kommunikasjon og kultur 2	Kommunikasjon og kultur 2	61	47	52
3	FKAT700	FOMR705	KKM1Z06	KKM1Z06	Språkfag	Kommunikasjon og kultur	Kommunikasjon og kultur 3	Alle vurderingsfag	253	288	255
4	FKAT700	FOMR705	KKM1Z06	SPR3036	Språkfag	Kommunikasjon og kultur	Kommunikasjon og kultur 3	Kommunikasjon og kultur 3	253	288	255
2	FKAT700	FOMR706		FOMR706	Språkfag	Reiseliv	Alle opplæringsfag	Alle vurderingsfag	570	752	772
3	FKAT700	FOMR706	RSP1Z03	RSP1Z03	Språkfag	Reiseliv	Reiseliv og språk 1	Alle vurderingsfag	345	527	498
4	FKAT700	FOMR706	RSP1Z03	SPR3038	Språkfag	Reiseliv	Reiseliv og språk 1	Reiseliv og språk 1	345	527	498
3	FKAT700	FOMR706	RSP1Z04	RSP1Z04	Språkfag	Reiseliv	Reiseliv og språk 2	Alle vurderingsfag	230	227	277
4	FKAT700	FOMR706	RSP1Z04	SPR3039	Språkfag	Reiseliv	Reiseliv og språk 2	Reiseliv og språk 2	230	227	277
2	FKAT700	FOMR707		FOMR707	Språkfag	Styrket engelsk	Alle opplæringsfag	Alle vurderingsfag	110	124	120
3	FKAT700	FOMR707	ENG3Z05	ENG3Z05	Språkfag	Styrket engelsk	Engelsk, styrket opplæring, vg1	Alle vurderingsfag	95	113	102
4	FKAT700	FOMR707	ENG3Z05	ENG3001	Språkfag	Styrket engelsk	Engelsk, styrket opplæring, vg1	Engelsk, styrket opplæring, vg1	95	113	102
3	FKAT700	FOMR707	ENG3Z06	ENG3Z06	Språkfag	Styrket engelsk	Engelsk, styrket opplæring, vg2	Alle vurderingsfag	15	11	18
4	FKAT700	FOMR707	ENG3Z06	ENG3002	Språkfag	Styrket engelsk	Engelsk, styrket opplæring, vg2	Engelsk, styrket opplæring, vg2	15	11	18
