order_id,day_id,missing_information,inserted_at,updated_at,order_items
0v8ltpwakno96pm,0,False,2025-09-09 09:42:34.543Z,2025-09-15 10:12:02.350Z,"[{""order_item_id"":""4tf5huy9v6hqlgy"",""item_id"":""0vnkdn968vq64f4"",""item_name"":""Chai Latte"",""customizations"":[{""customization_id"":""vhghlexoz9bmkyq"",""key"":""Kopp"",""value"":""Egen""},{""customization_id"":""xxje9a9qb1ymzm2"",""key"":""Annet"",""value"":""Klippekort""}]}]"
0wewckzie5g1hcb,0,False,2025-09-08 09:51:04.610Z,2025-09-15 10:12:02.047Z,"[{""order_item_id"":""fzhcgr38596vxv5"",""item_id"":""nt3ioawktdf5t4e"",""item_name"":""Mocca"",""customizations"":[]}]"
0wyfoj8bm865bb5,0,False,2025-09-09 08:57:51.897Z,2025-09-15 10:12:02.279Z,"[{""order_item_id"":""sxrydzzzit208le"",""item_id"":""btppdqik1t85orf"",""item_name"":""Cappuccino"",""customizations"":[]}]"
14xpymkyr8c26ef,0,False,2025-09-08 07:39:56.518Z,2025-09-15 10:12:01.744Z,"[{""order_item_id"":""nkr1q8q3gwzoj64"",""item_id"":""btppdqik1t85orf"",""item_name"":""Cappuccino"",""customizations"":[{""customization_id"":""4nso5ciju90j6d4"",""key"":""Kopp"",""value"":""Liten""}]}]"
19nq59h34u957nj,179,False,2025-09-16 08:13:27.965Z,2025-09-16 08:25:36.391Z,"[{""order_item_id"":""jpbn5nam1d7xxtv"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""hbdwkoi4u4cvdx7"",""key"":""Smak"",""value"":""Vanilje""}]}]"
1iomc90gphb2k40,151,False,2025-09-23 10:15:53.373Z,2025-09-23 10:21:47.244Z,"[{""order_item_id"":""eputxlz1v2s388y"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
1jj539ocwr8hwci,0,False,2025-09-08 07:19:04.408Z,2025-09-15 10:12:01.651Z,"[{""order_item_id"":""vkeczylfx2fdpe2"",""item_id"":""3lcgplzn9do9zi3"",""item_name"":""Varm sjokolade u/krem"",""customizations"":[]}]"
1k6620ohgzwwfq5,158,False,2025-09-15 09:50:28.315Z,2025-09-15 10:12:03.053Z,"[{""order_item_id"":""x2m6578vl39ae69"",""item_id"":""qxbwk37iqt9hwgp"",""item_name"":""Is Matcha"",""customizations"":[{""customization_id"":""4vz8cdhf8n7k3z1"",""key"":""Ekstra"",""value"":""Is""},{""customization_id"":""h2ol0m8oe6onr2m"",""key"":""Kopp"",""value"":""Plastikkopp ""}]}]"
1lp36r9thlpg288,0,False,2025-09-10 07:23:20.099Z,2025-09-15 10:12:03.290Z,"[{""order_item_id"":""pocv0bvbfjcig6o"",""item_id"":""nt3ioawktdf5t4e"",""item_name"":""Mocca"",""customizations"":[{""customization_id"":""vqnx6z1lx1ovz1w"",""key"":""Annet"",""value"":""Klippekort""},{""customization_id"":""9nz3k6swq9by6jy"",""key"":""Melk"",""value"":""Laktosefri""}]},{""order_item_id"":""u2f726bq5wofe5w"",""item_id"":""nt3ioawktdf5t4e"",""item_name"":""Mocca"",""customizations"":[{""customization_id"":""3o5d55djglf80a4"",""key"":""Kopp"",""value"":""Stor""}]}]"
1npwxiwd7s08o3w,145,False,2025-09-25 09:54:03.804Z,2025-09-25 09:59:50.294Z,"[{""order_item_id"":""t9quhskrfqwndsv"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
