order_id,inserted_at,updated_at,item_name,price_nok,category_name,customization_key,customization_value,price_increment_nok,constant_price
i6v6kify332abe2,2025-09-08 07:58:30.534Z,2025-09-08 07:58:30.830Z,Islatte,10,Kald drikke,Kopp,Stor,20,1
xl89pidda0oj27v,2025-09-08 07:58:30.536Z,2025-09-08 07:58:30.833Z,Latte,10,Varm drikke,Smak,Salt karamell,0,1
bog5tv5u9ty2fgj,2025-09-08 08:13:04.001Z,2025-09-08 08:13:04.303Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
7t696qasql9hvp2,2025-09-08 08:13:56.269Z,2025-09-08 08:13:56.575Z,Islatte,10,Kald drikke,Melk,Havre,0,1
7t696qasql9hvp2,2025-09-08 08:13:56.269Z,2025-09-08 08:13:56.575Z,Islatte,10,Kald drikke,Ekstra,Espresso,5,1
y6jnufqmlyprayy,2025-09-08 08:25:21.060Z,2025-09-08 08:25:21.748Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
krbyzvsnidl0mml,2025-09-08 08:26:12.679Z,2025-09-08 08:26:13.012Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
krbyzvsnidl0mml,2025-09-08 08:26:12.679Z,2025-09-08 08:26:13.012Z,Islatte,10,Kald drikke,Melk,Havre,0,1
s0z1ncsrkaw0dd6,2025-09-08 08:26:58.736Z,2025-09-08 08:26:59.035Z,Varm sjokolade u/krem,10,Varm drikke,Melk,Laktosefri,0,1
xereqlz6v9nf84j,2025-09-08 08:30:14.994Z,2025-09-08 08:30:15.303Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
mc995zykvowm18s,2025-09-08 08:52:46.035Z,2025-09-08 08:52:46.329Z,Karamell Frappe,15,Kald drikke,Melk,Laktosefri,0,1
mc995zykvowm18s,2025-09-08 08:52:46.035Z,2025-09-08 08:52:46.329Z,Karamell Frappe,15,Kald drikke,Kopp,Plastikkopp ,10,1
3db2w3sqq3ks84g,2025-09-08 09:10:55.129Z,2025-09-08 09:10:55.430Z,Varm sjokolade u/krem,10,Varm drikke,Ekstra,Is,5,1
3db2w3sqq3ks84g,2025-09-08 09:10:55.129Z,2025-09-08 09:10:55.430Z,Varm sjokolade u/krem,10,Varm drikke,Annet,Klippekort,0,0
mchcqsf21vi32ao,2025-09-08 09:14:02.640Z,2025-09-08 09:14:02.952Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
eh06hogtfbygvzn,2025-09-08 09:14:37.278Z,2025-09-08 09:14:37.576Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
eh06hogtfbygvzn,2025-09-08 09:14:37.278Z,2025-09-08 09:14:37.576Z,Islatte,10,Kald drikke,Melk,Lett,0,1
fqer9a3xw93defw,2025-09-08 09:32:59.639Z,2025-09-08 09:32:59.955Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
ac2h51glgmnnqgg,2025-09-08 09:33:46.429Z,2025-09-08 09:33:46.728Z,Latte,10,Varm drikke,Smak,Vanilje,0,1
cz8wfanu13rulqb,2025-09-08 09:38:56.416Z,2025-09-08 09:38:56.718Z,Latte,10,Varm drikke,Smak,Salt karamell,0,1
rkq8uy31gmss6ql,2025-09-08 09:40:15.843Z,2025-09-08 09:40:16.187Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
hcw1ga84aknx0j0,2025-09-08 09:40:56.131Z,2025-09-08 09:40:56.437Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
u2urxx77lfvxff4,2025-09-08 09:41:40.003Z,2025-09-08 09:41:40.309Z,Latte,10,Varm drikke,Smak,Salt karamell,0,1
u2urxx77lfvxff4,2025-09-08 09:41:40.003Z,2025-09-08 09:41:40.309Z,Latte,10,Varm drikke,Kopp,Liten,10,1
vqe728b742xpsek,2025-09-08 09:42:32.201Z,2025-09-08 09:42:32.505Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
mo42c5tvhp6jc4q,2025-09-08 09:43:16.911Z,2025-09-08 09:43:17.211Z,Latte,10,Varm drikke,Smak,Salt karamell,0,1
aex2wjjcmqkpq5k,2025-09-08 09:44:29.208Z,2025-09-08 09:44:29.499Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
fx66luvyq37mgew,2025-09-08 09:48:40.639Z,2025-09-08 09:48:40.938Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
9edbkypckyvbvog,2025-09-08 09:53:23.400Z,2025-09-08 09:53:23.689Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
usqzhlfq85wkk75,2025-09-08 10:07:34.875Z,2025-09-08 10:07:35.223Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
y1l6h0trgnajcqf,2025-09-08 10:09:23.820Z,2025-09-08 10:09:24.188Z,Latte,10,Varm drikke,Smak,Vanilje,0,1
v0aebbnomb2apjw,2025-09-09 06:24:52.486Z,2025-09-09 06:24:52.785Z,Karamell Frappe,15,Kald drikke,Smak,Hassel,0,1
