Tid;Spenning
0.0;0.0
0.0;0.0
0.001;0.0
0.002;0.01
0.003;0.0
0.004;0.0
0.005;0.0
0.006;0.0
0.007;0.0
0.008;0.0
0.009000000000000001;0.01
0.01;0.0
0.0105;0.0
0.011;0.0
0.0115;0.0
0.012;0.0
0.0125;0.0
0.013000000000000001;0.0
0.0135;0.0
0.014;0.0
0.0145;0.0
0.015;0.0
0.0155;0.0
0.016;0.0
0.0165;0.0
0.017;0.0
0.0175;0.0
0.018000000000000002;0.0
0.018500000000000003;0.0
0.019000000000000003;0.0
0.0195;0.0
0.02;0.0
0.0205;0.0
0.021;0.0
0.0215;0.0
0.022;0.0
0.0225;0.0
0.023;0.0
0.0235;0.01
0.024;0.0
0.0245;0.0
0.025;0.0
0.0255;0.0
0.026;0.0
0.0265;0.0
0.027;0.0
0.0275;0.0
0.027999999999999997;0.0
0.028499999999999998;0.01
0.028999999999999998;0.0
0.0295;0.0
0.03;0.0
0.0305;0.0
0.031;0.0
0.0315;0.0
0.032;0.0
0.0325;0.000477
0.033;0.0
0.0335;0.0
0.034;0.000477
0.0345;0.0
0.035;0.0
0.035500000000000004;0.0
0.036000000000000004;0.000973
0.0365;0.0
0.037;0.0
0.0375;0.0
0.038;0.0
0.0385;0.0
0.039;0.0
0.0395;0.0
0.04;0.0
0.0405;0.0
0.041;0.0
0.0415;0.000477
0.042;0.0
0.0425;0.0
0.043000000000000003;0.0
0.043500000000000004;0.0
0.044000000000000004;0.0
0.044500000000000005;0.0
0.045;0.0
0.0455;0.0
0.046;0.0
0.0465;0.0
0.047;0.0
0.0475;0.0
0.048;0.0
0.0485;0.01
0.049;0.0
0.0495;0.0
0.05;0.0
0.0505;0.0
0.051000000000000004;0.0
0.051500000000000004;0.0
0.052000000000000005;0.0
0.052500000000000005;0.0
0.053;0.0
0.0535;0.0
0.054;0.0
0.0545;0.000973
0.055;0.000973
0.0555;0.0
0.056;0.0
0.0565;0.0
0.057;0.0
0.0575;0.01
0.057999999999999996;0.0
0.058499999999999996;0.0
0.059;0.0
0.0595;0.0
0.06;0.0
0.0605;0.0
0.061;0.0
0.0615;0.0
0.062;0.0
0.0625;0.0
0.063;0.0
0.0635;0.0
0.064;0.0
0.0645;0.0
0.065;0.0
0.0655;0.0
0.066;0.0
0.0665;0.0
0.067;0.0
0.0675;0.0
0.068;0.0
0.0685;0.0
0.069;0.01
0.0695;0.000477
