Tid;Høyde
72.6;891.808
72.8;890.7459999999999
73.0;889.663
73.2;888.6089999999999
73.4;887.6579999999999
73.6;886.531
73.8;885.3309999999999
74.0;884.181
74.2;883.104
74.4;882.059
74.6;881.0729999999999
74.8;879.9299999999998
75.0;878.99
75.2;878.0239999999999
75.4;876.9749999999999
75.6;876.1399999999999
75.8;875.6119999999999
76.0;874.8129999999999
76.2;874.0039999999999
76.4;873.028
76.6;872.201
76.8;871.337
77.0;870.5529999999999
77.2;869.6959999999999
77.4;868.97
77.6;868.1969999999999
77.8;867.4579999999999
78.0;866.607
78.2;865.7739999999999
78.4;864.883
78.6;863.9590000000001
78.8;863.068
79.0;862.1879999999999
79.2;861.2539999999999
79.4;860.2849999999999
79.6;859.315
79.8;858.3909999999998
80.0;857.3699999999999
80.2;856.3989999999999
80.4;855.395
80.6;854.364
80.8;853.3119999999999
81.0;852.239
81.2;851.1879999999999
81.4;850.124
81.6;849.0809999999999
81.8;847.9469999999999
82.0;846.9159999999999
82.2;845.742
82.4;844.6279999999999
82.6;843.662
82.8;842.77
83.0;841.9469999999999
83.2;841.259
83.4;840.5739999999998
83.6;840.137
83.8;839.731
84.0;839.242
84.2;838.7159999999999
84.4;838.433
84.6;837.8999999999999
84.8;837.336
85.0;836.627
85.2;835.9469999999999
85.4;835.278
85.6;834.5989999999999
85.8;833.8199999999999
86.0;833.077
86.2;832.299
86.4;831.531
86.6;830.825
86.8;830.1019999999999
87.0;829.344
87.2;828.5409999999999
87.4;827.758
87.6;826.9569999999999
87.8;826.136
88.0;825.259
88.2;824.452
88.4;823.6379999999999
88.6;822.809
88.8;821.9759999999999
89.0;821.0349999999999
89.2;820.1979999999999
89.4;819.3489999999999
89.6;818.5549999999998
89.8;817.704
90.0;816.8689999999999
90.2;816.008
90.4;815.2179999999998
90.6;814.3589999999999
90.8;813.511
91.0;812.6989999999998
91.2;811.8820000000001
91.4;811.0249999999999
91.6;810.175
91.8;809.211
92.0;808.27
92.2;807.288
92.4;806.279
92.6;805.2469999999998
92.8;804.267
93.0;803.316
93.2;802.354
93.4;801.4159999999999
93.6;800.5840000000001
93.8;799.8799999999999
94.0;799.143
94.2;798.383
94.4;797.645
94.6;796.884
94.8;796.183
95.0;795.6099999999999
95.2;795.0339999999999
95.4;794.51
95.6;793.98
95.8;793.4359999999999
96.0;792.887
96.2;792.3139999999999
96.4;791.7
96.6;791.104
96.8;790.4639999999999
97.0;789.8899999999999
97.2;789.3329999999999
97.4;788.665
97.6;788.021
97.8;787.3209999999999
98.0;786.5919999999999
98.2;785.9179999999999
98.4;785.152
98.6;784.387
98.8;783.637
99.0;782.854
99.2;782.0739999999998
99.4;781.3049999999998
99.6;780.557
99.8;779.8809999999999
100.0;779.1879999999999
100.2;778.489
100.4;777.827
100.6;777.191
100.8;776.6109999999999
101.0;776.031
101.2;775.4099999999999
101.4;774.8799999999999
101.6;774.328
101.8;773.8679999999999
102.0;773.396
102.2;772.887
102.4;772.3499999999999
102.6;771.828
102.8;771.288
103.0;770.721
103.2;770.0709999999999
103.4;769.48
103.6;768.847
103.8;768.192
104.0;767.4869999999999
104.2;766.8499999999999
104.4;766.2549999999999
104.6;765.6089999999999
104.8;764.991
105.0;764.3239999999998
105.2;763.656
105.4;763.012
105.6;762.393
105.8;761.7909999999999
106.0;761.2049999999999
106.2;760.6679999999999
106.4;760.171
106.6;759.807
106.8;759.4639999999999
107.0;759.0360000000001
107.2;758.6969999999999
107.4;758.337
107.6;758.077
107.8;757.741
108.0;757.47
108.2;757.183
108.4;757.125
108.6;756.7729999999999
108.8;756.222
109.0;755.665
109.2;755.2339999999999
109.4;754.7659999999998
109.6;754.422
109.8;753.867
110.0;753.2929999999999
110.2;752.789
110.4;752.3899999999999
110.6;751.9679999999998
110.8;751.49
111.0;750.94
111.2;750.316
111.4;749.8789999999999
111.6;749.31
111.8;748.6699999999998
112.0;748.029
112.2;747.328
112.4;746.453
112.6;745.4959999999999
112.8;744.653
113.0;743.8889999999999
113.2;743.183
113.4;742.432
113.6;741.6779999999999
113.8;740.893
114.0;740.065
114.2;739.212
114.4;738.31
114.6;737.4959999999999
114.8;736.5909999999999
115.0;735.674
115.2;734.713
115.4;733.733
115.6;732.7639999999999
115.8;731.8599999999999
116.0;730.963
116.2;730.008
116.4;729.0219999999999
116.6;728.0739999999998
116.8;727.2139999999999
117.0;726.367
117.2;725.4959999999999
117.4;724.4939999999999
117.6;723.53
117.8;722.519
118.0;721.2649999999999
118.2;719.7339999999999
118.4;718.1389999999999
118.6;716.492
118.8;714.7739999999999
119.0;712.9179999999999
119.2;710.961
119.4;708.867
119.6;706.7369999999999
119.8;704.6109999999999
120.0;702.4590000000001
120.2;700.1869999999999
120.4;697.915
120.6;695.6109999999999
120.8;693.1089999999999
121.0;690.451
121.2;687.5999999999999
121.4;684.348
121.6;680.857
121.8;676.941
122.0;672.702
122.2;668.0709999999999
122.4;663.0360000000001
122.6;657.779
122.8;652.329
123.0;646.922
123.2;641.48
123.4;635.8619999999999
123.6;630.5259999999998
123.8;625.3699999999999
124.0;620.344
124.2;615.4939999999999
124.4;610.8709999999999
124.6;606.607
124.8;602.6289999999999
125.0;598.9289999999999
125.2;595.6669999999999
125.4;592.8709999999999
125.6;590.704
125.8;588.7249999999999
126.0;587.297
126.2;586.173
126.4;585.3799999999999
126.6;584.848
126.8;584.5840000000001
127.0;584.518
127.2;584.6209999999999
127.4;584.8599999999999
127.6;585.114
127.8;585.435
128.0;585.819
128.2;586.21
128.4;586.664
128.6;587.1759999999999
128.8;587.8429999999998
129.0;588.5609999999999
129.2;589.3389999999999
129.4;590.0699999999999
129.6;590.8209999999999
129.8;591.557
130.0;592.2069999999999
130.2;592.7090000000001
130.4;593.077
130.6;593.3589999999999
130.8;593.4859999999999
131.0;593.4959999999999
131.2;593.4289999999999
131.4;593.1679999999999
131.6;592.7839999999999
131.8;592.338
132.0;591.797
132.2;591.1679999999999
132.4;590.442
132.6;589.6009999999999
132.8;588.654
133.0;587.702
133.2;586.694
133.4;585.75
133.6;584.806
133.8;583.729
134.0;582.4549999999999
134.2;581.143
134.4;579.825
134.6;578.5129999999999
134.8;577.048
135.0;575.559
135.2;573.9480000000001
135.4;571.992
135.6;569.874
135.8;567.752
136.0;565.961
136.2;564.866
136.4;563.2570000000001
136.6;562.153
136.8;561.162
137.0;560.2370000000001
137.2;559.402
137.4;558.634
137.6;557.9839999999999
137.8;557.2929999999999
138.0;556.6400000000001
138.2;556.0139999999999
138.4;555.508
138.6;555.031
138.8;554.546
139.0;554.1669999999999
139.2;553.873
139.4;553.4449999999999
139.6;553.0029999999999
139.8;552.539
140.0;552.0530000000001
140.2;551.54
140.4;550.854
140.6;550.152
140.8;549.3489999999999
141.0;548.488
141.2;547.4570000000001
141.4;546.3009999999999
141.6;545.057
141.8;543.76
142.0;542.414
142.2;540.988
142.4;539.5799999999999
142.6;538.2460000000001
142.8;537.0319999999999
143.0;535.8330000000001
143.2;534.6279999999999
143.4;533.4649999999999
143.6;532.308
143.8;531.356
144.0;530.4269999999999
144.2;529.634
144.4;528.7819999999999
144.6;528.009
144.8;527.3810000000001
145.0;526.825
145.2;526.377
145.4;525.983
145.6;525.78
145.8;525.6189999999999
146.0;525.499
146.2;525.546
146.4;525.642
146.6;525.664
146.8;525.5699999999999
147.0;525.348
147.2;525.1030000000001
147.4;524.664
147.6;524.202
147.8;523.644
148.0;523.0350000000001
148.2;522.4090000000001
148.4;521.6980000000001
148.6;520.9459999999999
148.8;520.144
149.0;519.2950000000001
149.2;518.3320000000001
149.4;517.365
149.6;516.345
149.8;515.315
150.0;514.278
150.2;513.203
150.4;512.113
150.6;511.06
150.8;509.961
151.0;508.819
151.2;507.728
151.4;506.677
151.6;505.613
151.8;504.49
152.0;503.355
152.2;502.196
152.4;501.14400000000006
152.6;500.057
152.8;498.965
153.0;497.916
153.2;496.878
153.4;495.817
153.6;494.83
153.8;493.815
154.0;492.85
154.2;491.818
154.4;490.7070000000001
154.6;489.677
154.8;488.6590000000001
155.0;487.655
155.2;486.605
155.4;485.42800000000005
155.6;484.277
155.8;483.038
156.0;481.773
156.2;480.386
156.4;479.078
156.6;477.795
156.8;476.416
157.0;475.0820000000001
157.2;473.816
157.4;472.85100000000006
157.6;471.619
157.8;470.472
158.0;469.407
158.2;468.418
158.4;467.2840000000001
158.6;466.267
158.8;465.362
159.0;464.512
159.2;463.538
159.4;462.605
159.6;461.681
159.8;460.8320000000001
160.0;460.047
160.2;459.368
160.4;458.618
160.6;457.878
160.8;457.20200000000006
161.0;456.459
161.2;455.711
161.4;455.009
161.6;454.273
161.8;453.609
162.0;452.8370000000001
162.2;452.103
162.4;451.272
162.6;450.406
162.8;449.526
163.0;448.584
163.2;447.629
163.4;446.664
163.6;445.70200000000006
163.8;444.642
164.0;443.50000000000006
164.2;442.382
164.4;441.228
164.6;439.98
164.8;438.698
165.0;437.425
165.2;436.123
165.4;434.884
165.6;433.58
165.8;432.312
166.0;431.094
166.2;429.836
166.4;428.655
166.6;427.426
166.8;426.30300000000005
167.0;425.153
167.2;424.02
167.4;422.916
167.6;421.876
167.8;420.833
168.0;419.85
168.2;418.84
168.4;417.686
168.6;416.686
168.8;415.733
169.0;414.775
169.2;413.797
169.4;412.812
169.6;411.854
169.8;410.821
170.0;409.729
170.2;408.651
170.4;407.539
170.6;406.378
170.8;405.169
171.0;403.835
171.2;402.4330000000001
171.4;400.908
171.6;399.3370000000001
171.8;397.639
172.0;395.939
172.2;394.15400000000005
172.4;392.338
172.6;390.456
172.8;388.542
173.0;386.6060000000001
173.2;384.59
173.4;382.543
